,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
591,1231,213156243,20213156243,https://hsip.dot.state.oh.us/api/report/20213156243,2021,8/1/2021 0:00,6,CFRACR00075**C,C,FRA,5.27,40.095171,-82.950321,18000,19234.0,8/21/2021 0:00,Serious injury suspected,Pedalcycles,7,N,,N,N,Other principal arterial roads,23,1,,,,N,5.27,CFRACR00075**C,N,Dark - roadway not lighted,210628013,4,8,N,1,0,2,COLUMBUS,Not an intersection,S,N,N,4.0,N,0.071,,N,,N,COLUMBUS,N,,,,CLEVELAND,AVE,,,,,N,,,BELLA VIADUCT,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,53598.0,N,5.27,51,Y,Operating deffective equipment,South,North,,M,N,N,N,Shoulder / roadside,4,Nothing struck,1,2,35,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,40.0,1,2.0,1.0,1.0,F,,2,35.0,1.0,15,,,,,,1.0,6.0,NT,3,35.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213156243,"on the above listed date and time, officers responded to a report of an accident involving a bicyclist and a motor vehicle. upon artrival, reporting officer spoke with unit 2 driver who stated she was traveling northbound on cleveland ave when she struck unit 1. she stated she did not see unit 1 when she struck him. unit 1 operator was taken to riverside methodist hospital by cfd medic 24 in critical condition. officers exsausted all attempts to identify unit 1 by using mugshot, rapidid and were unable to identify unit 1. unit 1 is listed in report as """"john doe"""" with an unknown date of birth. unit 1 was treated at riverside for multiple injuries such as broken ribs, brain trauma, etc. by dr. rimer. it was determined by officers that unit 1 was in error because the bicycle in use did not have a flashing or steady red light on the rear of the bicycle.",list date time officer respond report accident involve bicyclist motor vehicle artrival report officer speak state travel northbound ave strike state strike operator take riverside methodist hospital cfd medic critical condition officer exsauste attempt identify mugshot rapidid unable identify list report john doe unknown date birth treat riverside multiple injury broken rib trauma etc dr rimer determine officer error bicycle use flash steady red rear bicycle ,Bicycle Accident Cases,Bicycle Accident Cases
592,1232,213156480,20213156480,https://hsip.dot.state.oh.us/api/report/20213156480,2021,8/1/2021 0:00,7,SMOTSR00201**C,S,MOT,5.435,39.830613,-84.121895,36610,22528.0,8/24/2021 0:00,Injury possible,Pedalcycles,3,N,Two-way roadway,N,N,Minor arterial roads,16,0,,5dd844af-03df-4188-92e1-4844a9d1dc9c,0a62db00-e4b8-4f13-8311-4407e0117572,N,5.435,SMOTSR00201**C,N,Daylight,21-059503,4,8,,1,0,2,HUBER HEIGHTS,Not an intersection,N,N,Y,4.0,N,0.004,MR,N,,N,HUBER HEIGHTS,N,,,,,,201,SR,,,N,,,NEBRASKA,1,,,,AVE,N,N,N,0,,N,3.0,1,Dry,Straight level,,297594.0,N,5.435,51,Y,None,East,North,,F,N,N,N,Data not valid or not provided,2,Nothing struck,2,0,35,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,15,37.0,2,1.0,2.0,9.0,M,1.0,1,35.0,1.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213156480,unit#1 was traveling sb on brandt pike on the sidewalk when at nebraska it failed to yield to the right of way to unit#2 causing unit#2 to struck it. unit#2 was traveling wb on nebraska. unit#1 has the do not walk sign while unit#2 has the green light., travel sb sidewalk nebraska failed yield right cause strike travel wb nebraska walk sign light ,traffic fails at intersections,traffic fails at intersections
598,1238,213178420,20213178420,https://hsip.dot.state.oh.us/api/report/20213178420,2021,8/1/2021 0:00,4,CSUMCR00043**C,C,SUM,2.7,41.14543,-81.501473,19778,766.0,8/16/2021 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Other principal arterial roads,22,0,,0ef56c25-f3db-44a5-9aa4-5eaea28cc0f0,8a832a90-b593-4e21-973b-93aecaaa2d51,N,2.7,CSUMCR00043**C,N,Daylight,2021-00020824,4,8,,1,1,2,CUYAHOGA FALLS,Not an intersection,S,N,Y,4.0,N,0.003,MR,N,,N,CUYAHOGA FALLS,N,,,E,PORTAGE,TRL,,,,,N,,N,HAVEN,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,8976.0,N,2.7,50,Y,Improper crossing,East,West,Other / unknown,M,N,N,N,Intersection ? marked crosswalk,6,Nothing struck,2,2,15,Other non-motorist,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,29.0,1,2.0,1.0,1.0,M,,1,25.0,1.0,15,,,,,,1.0,2.0,NT,3,0.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2021/pdf/213178420,unit 1 was stopped at a red light on north haven and portage trail. unit 2 on a bicycle was traveling west on portage on a bicycle. unit 2 was traveling on the sidewalk approaching the crosswalk. unit 1 was making a right turn on red when unit 2 struck unit 1. there is a crosswalk device that must be pressed for right of way and unit 2 did not press device. unit 2 was seen by ems and transported to akron city hospital., stop red haven portage trail bicycle travel portage bicycle travel sidewalk approach crosswalk make right turn red strike crosswalk device press right press device see ems transport akron city hospital ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
600,1241,213161357,20213161357,https://hsip.dot.state.oh.us/api/report/20213161357,2021,8/1/2021 0:00,4,,C,STA,,40.79,-81.47,62078,99999.0,8/28/2021 0:00,Injury possible,Pedalcycles,7,N,Two-way roadway,N,N,,19,0,,,,N,,,N,Dawn/dusk,2021-12761,80,8,,1,0,3,PERRY TOWNSHIP,Not an intersection,,N,N,1.0,N,0.0,,N,3469,N,PERRY TOWNSHIP,N,,,,LINCOLN,WAY,,,,,N,,,,3,,,,,N,Y,N,0,,N,,2,Dry,Straight grade,,,N,,73,N,Failure to yield,South,East,,M,N,N,N,Data not valid or not provided,1,Nothing struck,1,0,15,Making righturn,Pedalcycle,Pedalcycle,,,,,None,No control,Right turn,Sport utility vehicle,0,13.0,99,4.0,3.0,1.0,M,8.0,2,,1.0,20,,,,,,1.0,6.0,NT,26,,20.0,3.0,1.0,20.0,,,,,,1.0,6.0,26.0,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213161357,"unit #1 was leaving calvary cemetery and stopped to wait for traffic on lincoln way e. unit #2 and unit #3 were ridding their bicycles west on the sidewalk approaching the exit of the cemetery. unit #1 drove in front of unit #2 and unit #3, striking unit #2, and causing unit #3 to strike the side of the vehicle.", leave calvary cemetery stop wait traffic e rid bicycle sidewalk approach exit cemetery drive strike cause strike vehicle , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
603,1244,213222517,20213222517,https://hsip.dot.state.oh.us/api/report/20213222517,2021,8/1/2021 0:00,6,CFRACR00013**C,C,FRA,7.702,39.914693,-82.966031,18000,19234.0,8/5/2021 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Minor arterial roads,18,0,,2301217a-e070-4a0f-803b-213887160d46,c42d4459-ae84-44bb-9d43-0953db14d7b7,N,7.702,CFRACR00013**C,N,Daylight,210580315,4,8,,1,1,2,COLUMBUS,Four-way intersection,,N,Y,2.0,N,0.0,RA,Y,,N,COLUMBUS,N,,,,LOCKBOURNE,RD,,,,,N,,,,1,104,SR,,,N,N,N,0,,N,,0,Dry,Straight level,,6588.0,N,7.702,24,Y,None,South,North,,M,N,N,N,Intersection ? marked crosswalk,4,Nothing struck,1,2,45,Straight ahead,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,2,59.0,1,4.0,2.0,1.0,F,,2,35.0,5.0,15,,,,,,1.0,2.0,RT,3,1.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213222517,"on the listed date and time, officer responded to an auto accident with injury in marked cpd wagon #138 wearing uniform of the day at the listed location. officers made contact with the driver of unit 2 who stated that as she was turning southbound, the rider of unit 1 rode northbound at the crosswalk and was struck by unit 2. the rider of unit 1 stated he had a cross signal and did not see unit 2. the driver of unit 2 stated she was stopped at the redlight and as she turned right, the rider of unit 2 rode infront of her vehicle but stated the light had turned green for her. the rider of unit 2 was treated at scene for minor injuries. no parties were cited out of this incident. the driver of unit 1 provided all valid identification needed to operate a motor vehicle.",list date time officer respond auto accident injury mark cpd wagon wear uniform list location officer contact state turn southbound ride northbound crosswalk strike state signal state stop redlight turn right ride infront vehicle state turn treat scene injury party cite incident provide valid identification need operate motor vehicle ,Bicycle Accident Cases,Bicycle Accident Cases
604,1245,213263795,20213263795,https://hsip.dot.state.oh.us/api/report/20213263795,2021,7/1/2021 0:00,7,MLOGMR00360**C,M,LOG,0.176,40.467281,-83.894792,69302,99798.0,7/3/2021 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Local roads,16,0,,25c3f4c5-e166-4d44-99cf-a3e55275e373,26d5b11e-108c-4183-a5a8-e2f558c32bea,N,0.176,MLOGMR00360**C,N,Daylight,21-026993,4,7,,2,1,2,RUSSELLS POINT,Not an intersection,S,N,N,2.0,N,0.001,,Y,442,N,RUSSELLS POINT,N,,,,BUCKEYE,AVE,,,,,N,,,,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,77069.0,N,0.176,7,Y,Failure to yield,West,East,Other / unknown,M,N,N,N,Travel lane ? other location,2,Nothing struck,2,2,25,Entering traffic lane,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,23.0,1,1.0,2.0,1.0,F,,1,25.0,1.0,24,,,,,,1.0,6.0,NT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213263795,"a juvenille on bicycle entered the roadway, coming out in front of a parked vehicle, striking a motor vehicle in transport.",juvenille bicycle enter roadway come parked vehicle strike motor vehicle transport , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
605,1246,213129578,20213129578,https://hsip.dot.state.oh.us/api/report/20213129578,2021,7/1/2021 0:00,12,MCUYMR06772**C,M,CUY,0.713,41.422314,-81.609876,29428,17668.0,7/14/2021 0:00,Minor injury suspected,Pedalcycles,4,N,,N,N,Local roads,18,0,,fb14b43b-e57c-4b02-acdf-cf927858c948,687d236a-e3cf-469c-85af-5f1758f444df,N,0.713,MCUYMR06772**C,N,Daylight,20211928,4,7,,1,1,2,GARFIELD HEIGHTS,Four-way intersection,W,N,Y,2.0,N,0.004,CR,N,,N,GARFIELD HEIGHTS,N,,,,TURNEY,RD,,,,,N,,,MCCRACKEN,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,158635.0,N,0.713,10,Y,Failure to yield,,,,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,35,Unknown,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,0,51.0,1,3.0,4.0,1.0,M,,2,35.0,1.0,15,,,,,,1.0,6.0,NT,3,35.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2021/pdf/213129578,unit 1 was crossing inside the crosswalk (unknown direction) at mccracken rd. and turney rd. unit 2 was traveling w/b on mccracken rd. at turney rd. with a green light. unit 1 failed to yield and was struck by unit 2 in the north side of the crosswalk. unit 2 left the scene of the accident., crossing inside crosswalk rd turney rd travel w rd turney rd light fail yield strike crosswalk leave scene accident ,Crossing Accidents ,Crossing Accidents 
606,1247,213119633,20213119633,https://hsip.dot.state.oh.us/api/report/20213119633,2021,5/1/2021 0:00,2,CLUCCR00091**C,C,LUC,5.703,41.58567,-83.655186,48342,87868.0,5/24/2021 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Major collector roads,12,0,,bd085d9c-5a7d-4d5e-a4f0-255c0e4c9a26,eb0a9175-c141-4a6c-af1e-d8f8cea7d962,N,5.703,CLUCCR00091**C,N,Daylight,21012407,4,5,,1,1,2,MAUMEE,Four-way intersection,,N,Y,4.0,N,0.0,MR,Y,,N,MAUMEE,N,,,,Cass,RD,,,,,N,,,Dussel,1,,,,DR,N,N,N,0,,N,,0,Dry,Straight level,,63695.0,N,5.703,17,Y,Improper crossing,North,South,Other distraction outside the vehicle,M,N,N,N,Intersection ? marked crosswalk,4,Nothing struck,2,2,25,Straight ahead,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,7,46.0,1,2.0,3.0,1.0,M,,1,25.0,5.0,15,,,,,,1.0,2.0,RT,3,15.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213119633,"the driver of unit #1 was turning right on dussel drive from cass road. unit #2 was riding his bike illegally on the sidewalk and was not paying attention and ran into the side of unit #1. unit #2 was damaged as was unit #1. the operator of unit #1 was thrown from the bicycle and suffered injury to his left side, arms and legs. he stated he saw the traffic light was green but did not look at the walk/don't walk sign. a witness advised the operator of unit #2 was not paying attention to any of the traffic and struck unit #1.", turn right dussel drive road ride bike illegally sidewalk pay attention run damage operator throw bicycle suffer injury leave arm leg state see traffic look walk do not walk sign witness advise operator pay attention traffic strike ,Bicycle Accident Cases,Bicycle Accident Cases
608,1249,213129820,20213129820,https://hsip.dot.state.oh.us/api/report/20213129820,2021,7/1/2021 0:00,6,SFRAUS00040**C,S,FRA,20.162,39.955436,-82.875731,84742,19234.0,7/1/2021 0:00,Minor injury suspected,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,13,0,,,,N,20.162,SFRAUS00040**C,N,Daylight,21WHI-16060-AC,4,7,,3,1,2,WHITEHALL,Not an intersection,,N,N,4.0,N,0.0,,N,4617,N,WHITEHALL,N,,,E,MAIN,ST,40,US,,,N,,,4617TH,3,,,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,262951.0,N,108.005,14,Y,Other improper action,West,East,Other / unknown,M,N,N,N,Sidewalk,1,Nothing struck,1,2,0,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,46.0,1,2.0,1.0,1.0,F,,2,15.0,11.0,15,,,,,,1.0,6.0,NT,3,0.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2021/pdf/213129820,the driver of unit #1 was stopped at the entrance/exit at the walgreens waiting for traffic to clear to head on e. main st. when bicyclist #1 was heading e/b on the sidewalk. the bicyclist was seen by the driver of unit #1 look behind him not paying attention prior to running into the left rear-mid area of unit #1. the bicyclist sustained at least a minor cut/scrap on his leg. he told the driver of unit #1 he was fine before riding off leaving the scene. the identity of the bicyclist is unknown. driver of unit #1 provided a written statement., stop entrance exit walgreen wait traffic clear e st bicyclist head e sidewalk bicyclist see look pay attention prior run leave rear mid area bicyclist sustain cut scrap leg tell ride leave scene identity bicyclist unknown provide write statement ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
609,1257,213142109,20213142109,https://hsip.dot.state.oh.us/api/report/20213142109,2021,8/1/2021 0:00,2,CLUCCR00173**C,C,LUC,0.887,41.718797,-83.487074,81438,87868.0,8/8/2021 0:00,Property damage only,Pedalcycles,1,N,,N,N,Major collector roads,7,0,,8a2e7df0-e71c-4228-bbb9-44474f768c95,77b2cfa6-8aec-4089-b8a1-86a81006a911,N,0.887,CLUCCR00173**C,N,Daylight,2.10808E+13,2,8,,2,0,2,WASHINGTON TOWNSHIP,Not an intersection,,N,N,2.0,N,0.0,,N,2323,N,TOLEDO,N,,,,SHORELAND,AVE,,,,,N,,,,3,,,,,N,Y,N,0,,N,,0,Dry,Straight level,,85989.0,N,0.887,0,Y,Other improper action,West,South,Data not valid or not provided,F,N,N,N,Data not valid or not provided,2,Nothing struck,2,0,35,Entering traffic lane,Pedalcycle,,,,,,None,No control,Right turn,Sport utility vehicle,5,68.0,1,1.0,2.0,1.0,M,7.0,1,35.0,1.0,20,,,,,,1.0,6.0,NT,26,4.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/213142109,on the listed date time mr. parks was riding his bike southbound on shoreland. unit #2 exited the parking lot at 2323 shorland. she struck the rear tire of mr. parks bicycle. after the two argued unit #2 left the scene.,list date time mr ride bike southbound shoreland exit parking lot shorland strike rear tire mr bicycle argue leave scene , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
610,1267,215076155,20215076155,https://hsip.dot.state.oh.us/api/report/20215076155,2021,5/1/2021 0:00,3,CWAYCR00086**N,C,WAY,8.238,40.857856,-81.941655,86548,99785.0,5/6/2021 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Minor arterial roads,8,0,,,,N,8.33,CWAYCR00086**C,N,Daylight,85-0401-85,4,5,,1,1,2,WOOSTER,Not an intersection,E,Y,N,2.0,N,0.2,CR,N,,N,WOOSTER,N,,,,,,86,CR,,,N,,,,1,6,CR,,,N,N,N,0,,N,,0,Dry,Straight level,,24745.0,N,8.238,43,Y,Improper passing,East,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Overtaking/passing,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,27,38.0,1,3.0,4.0,1.0,M,5.0,2,35.0,1.0,20,,,,,,1.0,6.0,NT,26,7.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/215076155,"unit # 2 was west on cr 86, riding along the white edge line. unit # 1 was west on cr 86, attempted to pass unit # 2, and struck unit # 2. unit # 2 was thrown from the bicycle and came to rest in the ditch. unit # t represents other traffic.", cr ride line cr attempt pass strike throw bicycle come rest ditch t represent traffic , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
612,1270,215098832,20215098832,https://hsip.dot.state.oh.us/api/report/20215098832,2021,6/1/2021 0:00,12,TGEATR00076**C,T,GEA,0.605,41.614475,-81.200795,13561,99999.0,6/6/2021 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Local roads,16,0,,,,N,0.605,TGEATR00076**C,N,Daylight,28-0508-28,3,6,,3,1,2,CHARDON TOWNSHIP,Not an intersection,N,N,N,2.0,N,0.5,CR,N,,N,CHARDON TOWNSHIP,N,,,,,,76,TR,,,N,,,,1,25,CR,,,N,N,N,0,,N,,0,Dry,Straight grade,,207125.0,N,0.605,62,Y,Improper turn,South,,,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,40,Making leftturn,Motor vehicle in transport,,,,,,None,No control,Left turn,Bicycle,5,32.0,1,1.0,2.0,1.0,F,,2,40.0,1.0,15,,,,,,1.0,6.0,NT,3,30.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/215098832,"unit #1, a bicycle was northbound on robinson road. unit #2 was southbound on robinson road. unit #1 made a left turn into the path of unit #1, was struck and the rider ejected.", bicycle northbound road southbound road leave turn path strike eject , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
613,1271,215099301,20215099301,https://hsip.dot.state.oh.us/api/report/20215099301,2021,6/1/2021 0:00,8,CCLECR00130**C,C,CLE,0.512,39.003352,-84.137707,76155,99999.0,6/5/2021 0:00,Injury possible,Pedalcycles,7,N,,N,N,Local roads,11,0,,,,N,0.512,CCLECR00130**C,N,Daylight,13-0773-13,2,6,,5,0,2,TATE TOWNSHIP,Not an intersection,E,N,N,2.0,N,0.3,,N,,N,TATE TOWNSHIP,N,,,,WILIAMSBURG BANTAM,RD,,,,,N,,,SOUTH BANTAM,1,,,,RD,N,N,N,0,,N,,1,Dry,Straight level,,27076.0,N,0.512,56,N,Following too close/acda,West,East,,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,55,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,12,34.0,12,4.0,2.0,1.0,M,,2,55.0,2.0,15,,,,,,1.0,6.0,RT,3,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2021/pdf/215099301,unit#1 and unit#2 were eastbound on williamsburg bantam rd. unit#1 failed to keep assured clear distance as unit#2 improperly backed and they struck., eastbound williamsburg bantam rd fail assure clear distance improperly back strike ,Road Travel Fails,Road Travel Fails
620,1283,216099262,20216099262,https://hsip.dot.state.oh.us/api/report/20216099262,2021,6/1/2021 0:00,5,SLICSR00013**C,S,LIC,10.253,40.066233,-82.408565,54040,61705.0,6/8/2021 0:00,Minor injury suspected,Pedalcycles,3,N,Two-way roadway,N,N,Other principal arterial roads,23,0,,cce7ebcc-ae60-4cc2-9767-83819b2c108e,813e3c4c-8add-452f-9495-234fdaaabd95,N,10.253,SLICSR00013**C,N,Dark - lighted roadway,21-15941,4,6,N,1,1,2,NEWARK,Not an intersection,,N,Y,2.0,N,0.0,MR,N,,N,NEWARK,N,,,N,MOUNT VERNON,AVE,,,,,N,,,COMMODORE,1,,,,ST,N,N,N,0,,N,3.0,0,Wet,Straight level,,295759.0,N,66.442,0,Y,None,South,North,Data not valid or not provided,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,35,40.0,20,3.0,4.0,1.0,M,7.0,2,35.0,1.0,15,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2021/pdf/216099262,on the above date and time i was dispatched to 321 mnt. vernon rd. by a third party caller who stated a male had been hit by a car on his bicycle. i was able to make contact with the witness at 321 who stated they didn't see anything by the male that had got hit stays at apartment b with his mom at this address. the witness stated that the victim steve roberts had his girlfriend rachel baker took him to lmh. a short time later i made contact with our victim who stated that a dark color suv hit him on his bicycle as he was exiting the alley-way heading across the street to commodore st. rachel provided me a tag number that she was told saw the hole thing. i made contact with the witness who stated it was a dark suv but he couldn't make out any more description. the bicycle was no longer on scene and mr. roberts didn't have any visible wounds or marks to photograph.,date time dispatch mnt rd party caller state male hit car bicycle able contact witness state male got hit stay apartment mom address witness state victim girlfriend take lmh time later contact victim state dark color suv hit bicycle exiting alley way head commodore st provide tag tell see hole thing contact witness state dark suv description bicycle long scene mr visible wound photograph ,Bicycle Accident Cases,Bicycle Accident Cases
